,ARTS94,ARTS300,ARTS3k,LR-ARTS94,LR-ARTS300,LR-ARTS3k,SDA,ST-sent,ST-para,D-Wiki
Claude(simp),0.801,0.792,0.74,0.644,0.659,0.601,0.266,0.438,0.103,0.295
Ours_RF,0.696,0.578,0.595,0.168,0.199,0.309,0.139,0.654,0.002,0.522
BATS-GB,0.68,0.579,0.389,0.185,0.186,0.19,0.099,0.645,0.057,0.492
BATS-RF,0.636,0.574,0.408,0.146,0.199,0.196,0.105,0.654,0.009,0.56
Claude(simp+src),,,,,,,0.685,0.129,0.012,0.574
Claude(simp+src+ref),,,,,,,0.702,0.135,0.01,0.536
LENS-SALSA,,,,,,,0.632,0.259,0.092,0.38
SLE,0.813,0.716,0.641,0.534,0.495,0.411,0.107,0.321,0.123,0.006
SARI,,,,,,,0.222,0.133,0.193,0.284
BERTScore_P,,,,,,,0.544,0.248,0.201,0.268
Claude(simp+ref),,,,,,,0.58,0.029,0.061,0.45
bertscore_f1,,,,,,,0.39,0.303,0.286,0.259
FKGL,0.43,0.394,0.452,0.094,0.186,0.271,0.013,0.348,0.031,0.123
rouge2,,,,,,,0.225,0.435,0.315,0.168
Word_Count,0.564,0.447,0.536,0.069,0.033,0.09,0.082,0.451,0.135,0.229
bertscore_r,,,,,,,0.272,0.306,0.305,0.201
D-SARI,,,,,,,0.222,0.19,0.021,0.284
dsari_keep,,,,,,,0.163,0.201,0.256,0.413
ROUGE-L,,,,,,,0.164,0.385,0.281,0.177
BLEU,,,,,,,0.154,0.411,0.319,0.113
rouge1,,,,,,,0.119,0.388,0.264,0.162
dsari_delete,,,,,,,0.073,0.315,0.101,0.029
dsari_add,,,,,,,0.204,0.031,0.001,0.208
Avg_Word_Len,0.049,0.085,0.131,0.091,0.048,0.201,0.005,0.069,0.071,0.065
Shuffle,0.245,0.01,0.042,0.174,0.04,0.05,0.122,0.076,0.031,0.044
Random,0.397,0.111,0.063,0.262,0.158,0.061,0.043,0.027,0.132,0.069
