,ARTS94,ARTS300,ARTS3k,LR-ARTS94,LR-ARTS300,LR-ARTS3k,SDA,ST-sent,ST-para,D-Wiki
Claude(simp),0.413,0.513,0.544,0.234,0.364,0.413,0.308,0.409,0.254,0.348
Ours_RF,0.732,0.539,0.463,0.393,0.275,0.248,0.202,0.56,0.181,0.481
Claude(simp+src),,,,,,,0.627,0.169,0.187,0.571
Claude(simp+src+ref),,,,,,,0.631,0.173,0.171,0.53
BATS-RF,0.687,0.542,0.33,0.376,0.273,0.176,0.179,0.561,0.188,0.514
BATS-GB,0.71,0.546,0.316,0.404,0.269,0.173,0.175,0.553,0.211,0.464
LENS-SALSA,,,,,,,0.547,0.251,0.102,0.379
SLE,0.37,0.387,0.413,0.116,0.189,0.228,0.036,0.297,0.074,0.106
Claude(simp+ref),,,,,,,0.537,0.048,0.116,0.456
SARI,,,,,,,0.256,0.204,0.42,0.311
bertscore_f1,,,,,,,0.375,0.153,0.037,0.31
BERTScore_P,,,,,,,0.481,0.111,0.022,0.3
FKGL,0.554,0.419,0.358,0.337,0.275,0.226,0.098,0.185,0.142,0.022
rouge2,,,,,,,0.259,0.254,0.051,0.246
bertscore_r,,,,,,,0.294,0.154,0.049,0.267
Word_Count,0.645,0.452,0.424,0.216,0.122,0.101,0.051,0.267,0.071,0.051
D-SARI,,,,,,,0.256,0.199,0.185,0.311
ROUGE-L,,,,,,,0.219,0.215,0.026,0.251
dsari_keep,,,,,,,0.214,0.078,0.013,0.405
BLEU,,,,,,,0.211,0.234,0.06,0.204
rouge1,,,,,,,0.189,0.217,0.019,0.241
dsari_delete,,,,,,,0.155,0.291,0.245,0.127
dsari_add,,,,,,,0.244,0.092,0.168,0.262
Avg_Word_Len,0.309,0.095,0.136,0.341,0.183,0.184,0.105,0.018,0.222,0.064
Shuffle,0.104,0.157,0.02,0.16,0.124,0.014,0.026,0.012,0.139,0.08
Random,0.002,0.077,0.006,0.098,0.045,0.007,0.078,0.048,0.077,0.061
