,ARTS94,ARTS300,ARTS3k,LR-ARTS94,LR-ARTS300,LR-ARTS3k,SDA,ST-sent,ST-para,D-Wiki
GPT-4o-mini,0.622,0.731,0.741,0.299,0.571,0.609,0.538,0.536,0.354,0.366
Claude(simp),0.566,0.675,0.702,0.357,0.535,0.559,0.412,0.517,0.333,0.438
Ours_RF,0.87,0.721,0.643,0.533,0.409,0.374,0.293,0.712,0.234,0.636
Gemma-4-E4B,0.59,0.656,0.689,0.205,0.415,0.491,0.334,0.496,0.182,0.306
BATS-GB,0.862,0.722,0.451,0.546,0.397,0.258,0.255,0.704,0.29,0.611
BATS-RF,0.839,0.718,0.469,0.515,0.409,0.265,0.261,0.712,0.245,0.668
Llama-3.1-8B,0.341,0.532,0.552,0.046,0.372,0.392,0.54,0.434,0.293,0.368
Claude(simp+src),,,,,,,0.77,0.224,0.247,0.68
Ministral-8B,0.337,0.513,0.565,0.057,0.337,0.381,0.629,0.361,0.148,0.42
Claude(simp+src+ref),,,,,,,0.783,0.23,0.226,0.649
LENS-SALSA,,,,,,,0.727,0.349,0.146,0.514
SLE,0.588,0.571,0.593,0.169,0.297,0.347,0.053,0.408,0.116,0.153
SARI,,,,,,,0.371,0.293,0.549,0.428
BERTScore_P,,,,,,,0.655,0.153,0.036,0.414
Claude(simp+ref),,,,,,,0.685,0.069,0.177,0.576
bertscore_f1,,,,,,,0.523,0.21,0.053,0.405
FKGL,0.719,0.577,0.51,0.473,0.397,0.337,0.146,0.258,0.206,0.037
GPT-4o-mini (pairwise),,,,,,,0.415,0.437,0.355,0.275
rouge2,,,,,,,0.374,0.349,0.084,0.321
Word_Count,0.8,0.62,0.589,0.331,0.193,0.161,0.078,0.366,0.103,0.072
Gemma-4-E4B (pairwise),,,,,,,0.45,0.378,0.245,0.311
bertscore_r,,,,,,,0.418,0.213,0.073,0.351
D-SARI,,,,,,,0.371,0.283,0.256,0.428
dsari_keep,,,,,,,0.316,0.105,0.022,0.543
ROUGE-L,,,,,,,0.317,0.297,0.048,0.329
BLEU,,,,,,,0.308,0.323,0.089,0.268
rouge1,,,,,,,0.274,0.3,0.03,0.315
dsari_delete,,,,,,,0.231,0.402,0.331,0.188
dsari_add,,,,,,,0.354,0.128,0.237,0.358
Llama-3.1-8B (pairwise),,,,,,,0.412,0.077,0.221,0.254
Avg_Word_Len,0.435,0.141,0.201,0.47,0.27,0.269,0.154,0.029,0.302,0.095
Shuffle,0.159,0.234,0.03,0.231,0.186,0.021,0.037,0.021,0.206,0.115
Random,0.005,0.115,0.009,0.142,0.068,0.01,0.117,0.071,0.106,0.091
Ministral-8B (pairwise),,,,,,,,0.021,0.089,0.116
